<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208758,1,,Flat,1400,"Rating 65 Benchmark*","WALT & COURTNEY CAVENDISH MARRIED TODAY 1400",10000.00,12:45:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",6,"Showery",340695,1,6,"Prince Kanto","5","g",59.00,3,1.22.43,0.36.22,3.60," 7 3/4 LEN","Michael Moroney & Pam Gerard","Matamata",3.10,0.00,700.00,"Eilish McCall",56.00,3.00,63,0,0,"Ear Covers Pre-Race, Approved Plates, Norton Bit",248656,"TAVISTOCK (NZ) 2005",262002,"GURU GIRL (NZ) 2007",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208758,1,,Flat,1400,"Rating 65 Benchmark*","WALT & COURTNEY CAVENDISH MARRIED TODAY 1400",10000.00,12:45:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",6,"Showery",330350,2,1,"Speechmaker","6","g",58.50,2,1.22.25,0.36.13,2.30," 1 1/4 LEN","Antony Fuller","Tauranga",10.70,3.40,1500.00,"Samantha Collett",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",258606,"JIMMY CHOUX (NZ) 2007",255932,"SPEECHLESS (AUS) 2003",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208758,1,,Flat,1400,"Rating 65 Benchmark*","WALT & COURTNEY CAVENDISH MARRIED TODAY 1400",10000.00,12:45:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",6,"Showery",360723,3,3,"Inside Story","4","g",58.00,4,1.23.81,0.37.02,11.40," 1/2 LEN","Steven Cole","Byerley Park",18.10,0.00,400.00,"Ryan Elliot",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",248656,"TAVISTOCK (NZ) 2005",209805,"DAME MAPPERLEY (NZ) 1999",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208758,1,,Flat,1400,"Rating 65 Benchmark*","WALT & COURTNEY CAVENDISH MARRIED TODAY 1400",10000.00,12:45:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",6,"Showery",361381,5,2,"Les Crayeres","4","m",57.00,1,1.21.88,0.35.40,," 2 1/4 LEN","Ken & Bev Kelso","Matamata",1.70,1.20,5400.00,"Danielle Johnson",57.00,0.00,63,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",213162,"REDOUTE'S CHOICE (AUS) 1996",209410,"OUR ECHEZEAUX (NZ) 1999",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208758,1,,Flat,1400,"Rating 65 Benchmark*","WALT & COURTNEY CAVENDISH MARRIED TODAY 1400",10000.00,12:45:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",6,"Showery",309182,6,5,"Splendido","8","g",57.00,6,1.24.09,0.37.23,12.70," ","Bruce Wallace & Grant Cooksley","Byerley Park",15.20,0.00,200.00,"Masa Hashizume",55.00,2.00,59,0,0,"Approved Plates, Concussion Plates (Front) (1st time), Lugging Bit, Blinkers",172521,"O'REILLY (NZ) 1993",241210,"VICKEZZCHARDONNAY (NZ) 2004",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208758,1,,Flat,1400,"Rating 65 Benchmark*","WALT & COURTNEY CAVENDISH MARRIED TODAY 1400",10000.00,12:45:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",6,"Showery",356295,8,4,"Santori","4","m",54.50,5,1.23.93,0.36.98,11.90," 3/4 LEN","Moira & Kieran Murdoch","Pukekohe Park",10.90,0.00,200.00,"Jasmine Fawcett",54.50,0.00,58,0,0,"Approved Plates, Standard Bit, Blinkers",350625,"TORONADO (IRE) 2010",206821,"ZANNA (NZ) 1999",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208756,2,,Flat,1200,"Rating 74 Benchmark","GARTSHORE CONSTRUCTION 1200",11000.00,13:20:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Showery",358768,1,3,"Burgundy Rose","4","m",59.50,1,1.10.87,0.34.43,," 3/4 LEN","Jamie Richards","Matamata",2.60,1.60,5940.00,"Joe Kamaruddin",55.50,4.00,77,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers, Tongue Tie",268744,"BURGUNDY (NZ) 2008",241235,"PARAIBA (NZ) 2004",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208756,2,,Flat,1200,"Rating 74 Benchmark","GARTSHORE CONSTRUCTION 1200",11000.00,13:20:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Showery",371480,2,4,"Lord Ardmore","3","c",58.50,4,1.11.03,0.34.16,1.10," 1 3/4 LEN","Stephen McKee","Ardmore",2.90,0.00,440.00,"Sam Spratt",58.50,0.00,74,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",274377,"OUTSHINE (NZ) 2009",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208756,2,,Flat,1200,"Rating 74 Benchmark","GARTSHORE CONSTRUCTION 1200",11000.00,13:20:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Showery",338026,3,6,"Castani","6","g",56.50,3,1.11.01,0.34.19,1.00," SHORT HEAD","Daniel Miller","Matamata",9.10,0.00,770.00,"Wiremu Pinn",54.50,2.00,67,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band, Tongue Tie",280637,"PER INCANTO (USA) 2004",182144,"CANNY DEAL (NZ) 1995",
49640,2021-01-02,5,"Tauranga","Industry","Race","Racing Tauranga","RACING TAURANGA 2 JAN","Dead",6,"Showery","Out 5m",208756,2,,Flat,1200,"Rating 74 Benchmark","GARTSHORE CONSTRUCTION 1200",11000.00,13:20:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Showery",359366,4,5,"Appellant","4","m",56.00,6,1.11.45,0.34.77,3.90," ","Stephen Marsh","Cambridge",5.00,0.00,220.00,"Ashvin Goindasamy",55.00,1.00,70,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",281065,"ROYAL APPELLANT (NZ) 2010",
