<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",328940,1,3,"La Mia Stella","6","m",59.00,6,1.24.46,0.34.61,4.50," ","Graham Richardson & Rogan Norvall","Matamata",12.80,0.00,220.00,"Wiremu Pinn",57.00,2.00,76,0,0,"Approved Plates, Standard Bit",280637,"PER INCANTO (USA) 2004",260468,"O'STELLAR (NZ) 2007",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",320762,2,6,"Vittachi","7","g",58.00,7,1.24.91,0.35.49,7.30," ","Team Rogerson","Tuhikaramea",25.00,0.00,220.00,"Trudy Thornton",58.00,0.00,70,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",227492,"TARZIE (NZ) 2002",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",308906,3,4,"The Rebel Knight","8","g",57.50,8,1.24.93,0.35.37,7.40," ","M, M F & M L Rogers","Pukekohe Park",23.30,0.00,220.00,"Andrew Calder",57.50,0.00,69,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",253399,"REMIND (USA) 2000",220369,"BARBARELLE (NZ) 2001",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",335738,4,1,"Tammie Wynette","6","m",57.00,10,1.26.39,0.37.24,16.60," ","Mark Brosnan","Matamata",13.50,0.00,220.00,"Taiki Yanagida",56.00,1.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",289930,"TOBIQUE (AUS) 2005",269430,"SANTIAGO BLUE (USA) 1997",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",359067,5,2,"Ranger","4","g",56.50,1,1.23.80,0.34.97,," HEAD","Debbie Sweeney","Te Awamutu",9.30,2.20,5940.00,"Lynsey Satherley",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Side Winkers",338027,"GHIBELLINES (AUS) 2011",235775,"TURN THE PAGE (NZ) 2003",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",340248,6,9,"Jakkalbomb","5","m",56.00,5,1.24.23,0.35.10,3.00," 1 1/2 LEN","Danica Guy","Matamata",5.70,0.00,220.00,"Darren Danis",54.00,2.00,70,0,0,"Approved Plates, Lugging Bit, Blinkers",324908,"JAKKALBERRY (IRE) 2006",251390,"EXPLOSIVE GIRL (NZ) 2006",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",361381,8,5,"Les Crayeres","4","m",55.00,2,1.23.82,0.34.91,0.20," 2 1/2 LEN","Ken & Bev Kelso","Matamata",1.90,1.20,1650.00,"Danielle Johnson",55.00,0.00,68,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",213162,"REDOUTE'S CHOICE (AUS) 1996",209410,"OUR ECHEZEAUX (NZ) 1999",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",323287,9,8,"Saignon","7","m",54.50,3,1.24.20,0.35.03,2.70," NOSE","Team Rogerson","Tuhikaramea",37.70,7.10,770.00,"Rahul Beemud",50.50,4.00,67,0,0,"Approved Plates, Lugging Bit, In Foal",244799,"DUELLED (AUS) 2002",203040,"ROSA MARADA (NZ) 1998",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",343390,10,7,"Laurant","5","m",54.00,4,1.24.21,0.34.85,2.80," HEAD","Chris Gibbs","Ruakaka",8.50,0.00,440.00,"Ashvin Goindasamy",53.00,1.00,64,0,0,"Approved Plates (Hind), Concussion Plates (Front), Lugging Bit",265282,"OCEAN PARK (NZ) 2008",228331,"PETIT VERDOT (NZ) 2002",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209972,1,,Flat,1400,"Rating 74 Benchmark","LEGACY LODGE 1400",11000.00,11:55:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",6,"Overcast",333342,11,11,"Felix Faure","6","g",54.00,9,1.25.08,0.35.57,8.40," ","Graeme Lord","Cambridge",52.00,0.00,220.00,"Kozzi Asano",53.00,1.00,55,0,0,"Approved Plates, Lugging Bit, Blinkers",211629,"PINS (AUS) 1996",235104,"DAWNING (NZ) 2003",
49654,2021-01-20,2,"Te Rapa","Industry","Race","Waikato RC","WAIKATO RC 20 JAN","Dead",6,"Overcast","Out 7m | 11.5mm Rain Overnight | 27mm Rain Last 7 days",209976,2,,Flat,1400,"MDN","VALACHI DOWNS-FIND US AT BARN C 1400",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Overcast",353213,3,11,"Viva Nana (AUS)","4","g",58.50,8,1.25.21,0.36.33,7.90," ","Lauren Brennan","Cambridge",14.60,0.00,200.00,"Craig Grylls",58.50,0.00,47,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",288340,"IMANANA (AUS) 2010",
