MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",352436,1,7,"Eisenhower","5","g",58.50,2,2.05.34,0.34.44,0.10," 3/4 LEN","Bruce Tapper","Timaru",5.00,1.60,1500.00,"Gosen Jogoo",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",238720,"EKRAAR (USA) 1997",266977,"EYE FOR FASHION (NZ) 2008",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",363251,2,2,"Speights","4","g",58.50,7,2.05.73,0.35.57,2.90," ","Brian & Shane Anderton","Wingatui",7.10,0.00,200.00,"Corey Campbell",57.50,1.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",324908,"JAKKALBERRY (IRE) 2006",246678,"LONHRIELLE (NZ) 2005",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",331252,3,4,"Pax Vobiscum","6","g",58.50,9,2.06.12,0.36.07,5.50," ","Andrew Carston","Riccarton Park",18.50,0.00,200.00,"Jacob Lowry",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",236672,"METTRE EN JEU (NZ) 2003",235913,"PERFECT PEACE (NZ) 2003",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",318284,4,1,"Bahhgoofy","7","g",58.50,8,2.05.93,0.35.54,4.20," ","Daniel Champion & Kezia Murphy","Riccarton Park",23.20,0.00,200.00,"Tina Comignaghi",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",206002,"BAHHARE (USA) 1994",180351,"SAILING HIGH (NZ) 1994",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",361860,5,6,"Final Lot","4","g",58.50,1,2.05.33,0.34.70,," NOSE","John & Karen Parsons","Balcairn",13.20,3.80,5400.00,"Chris Johnson",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",313563,"HIGHLY RECOMMENDED (AUS) 2008",232198,"LOTS AND LOTS (NZ) 2002",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",356740,6,8,"Lancaster Park","4","g",58.50,5,2.05.60,0.35.63,2.00," ","Ross Beckett","Yaldhurst",21.60,0.00,200.00,"Kin Kwo",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",229440,"BEYOND (NZ) 2002",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",375193,7,3,"William John","3","g",57.00,10,2.07.46,0.37.55,14.40," ","Stephanie Clark","Timaru",25.60,0.00,200.00,"Tanya Jonker",57.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",338027,"GHIBELLINES (AUS) 2011",200118,"SUMTIME (NZ) 1998",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",347363,8,9,"Miss Tavi","5","m",56.50,3,2.05.44,0.34.95,0.90," 1/2 HEAD","Lyn Prendergast","West Melton",5.70,1.80,700.00,"Courtney Barnes",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",247115,"QUI VIVRA VERRA (NZ) 2005",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",340462,9,10,"Volvik","5","m",56.50,4,2.05.45,0.35.12,1.00," 1 LEN","Lyn Prendergast","West Melton",4.80,0.00,400.00,"Kylie Williams",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",251674,"VOLKARA (NZ) 2006",
49655,2021-01-21,6,"Riccarton Park","Industry","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 21 JAN","Dead",4,"Showery","True",210430,1,,Flat,2000,"MDN","NOBLE STAR & KAITOA CHRIS JOHNSON CELEBRATION",10000.00,13:02:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Showery",364292,10,5,"The Emporess","4","m",56.50,6,2.05.66,0.34.97,2.40," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",4.80,0.00,200.00,"Samantha Wynne",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers",337555,"PROISIR (AUS) 2009",254668,"KENDALL MARIE (NZ) 2006",
