UniqueID,Track,DayType,TrackCondition,TrackConditionScale,Distance,NoAllowances,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,Age,Gender,Weight,Finishingposition,TrainerLocation,StartingPriceWin,CarriedWeight,DomesticRating,HurdlesRating,SteeplesRating,SireID,DamID
0,1,2,0,4,1200,0,2,1,0,4,2,4,2,58.5,0,55,17.3,58.5,45,0,0,287687,191110
1,1,2,0,4,1200,0,2,1,0,4,2,4,2,58.5,0,43,72.4,56.5,45,0,0,255989,287634
2,1,2,0,4,1200,0,2,1,0,4,2,3,2,57.0,0,43,2.5,54.0,53,0,0,313325,260918
3,1,2,0,4,1200,0,2,1,0,4,2,3,2,57.0,0,20,36.0,57.0,45,0,0,325005,259083
4,1,2,0,4,1200,0,2,1,0,4,2,4,4,56.5,0,70,2.6,55.5,54,0,0,255627,223780
5,1,2,0,4,1200,0,2,1,0,4,2,4,4,56.5,0,7,15.0,56.5,45,0,0,257403,222083
6,1,2,0,4,1200,0,2,1,0,4,2,4,4,56.5,0,71,40.9,56.5,45,0,0,313448,236680
7,1,2,0,4,1200,0,2,1,0,4,2,6,4,56.5,0,71,17.4,56.5,45,0,0,265282,230820
8,1,2,0,4,1200,0,2,1,0,4,2,3,1,55.0,1,3,5.9,55.0,51,0,0,268744,258957
9,1,2,0,4,1200,0,2,1,0,4,2,4,2,58.5,1,43,8.9,58.5,45,0,0,258606,247697
10,1,2,0,4,1200,0,2,1,0,4,2,5,2,58.5,0,25,30.9,55.5,45,0,0,244648,266003
11,1,2,0,4,1200,0,2,1,0,4,2,6,2,58.5,0,43,28.0,58.5,45,0,0,211629,267497
12,1,2,0,4,1200,0,2,1,0,4,2,3,2,57.0,0,55,16.9,54.0,45,0,0,325005,350962
13,1,2,0,4,1200,0,2,1,0,4,2,5,4,56.5,0,48,3.8,54.5,54,0,0,337149,339852
14,1,2,0,4,1200,0,2,1,0,4,2,5,4,56.5,0,71,9.9,56.5,51,0,0,287776,230283
15,1,2,0,4,1200,0,2,1,0,4,2,5,4,56.5,0,73,2.6,57.0,50,0,0,211629,248714
16,1,2,0,4,1200,0,2,1,0,4,2,4,4,56.5,0,71,29.1,56.5,46,0,0,287689,337949
17,1,2,0,4,1200,0,2,1,0,4,2,5,4,56.5,0,43,9.5,56.5,45,0,0,247685,269191
18,1,2,0,4,1200,0,2,1,0,4,2,4,4,56.5,0,70,13.5,56.5,45,0,0,338027,246792
19,1,2,0,4,1200,0,2,0,0,4,2,4,2,59.0,1,71,4.2,59.0,63,0,0,276923,216041
20,1,2,0,4,1200,0,2,0,0,4,2,5,2,58.0,0,48,11.6,58.0,61,0,0,313390,272071
21,1,2,0,4,1200,0,2,0,0,4,2,5,2,58.0,0,3,12.5,58.0,61,0,0,172521,256217
22,1,2,0,4,1200,0,2,0,0,4,2,6,4,57.5,0,3,13.0,57.5,64,0,0,216698,285465
23,1,2,0,4,1200,0,2,0,0,4,2,4,2,57.5,0,3,3.9,57.5,60,0,0,344095,366271
24,1,2,0,4,1200,0,2,0,0,4,2,4,2,57.5,0,44,19.7,57.5,60,0,0,301937,278624
25,1,2,0,4,1200,0,2,0,0,4,2,6,2,57.0,0,15,43.7,57.0,59,0,0,263679,246884
26,1,2,0,4,1200,0,2,0,0,4,2,5,4,56.5,0,55,28.5,53.5,62,0,0,313563,211067
27,1,2,0,4,1200,0,2,0,0,4,2,6,4,56.0,0,3,25.5,53.0,61,0,0,280637,265049
28,1,2,0,4,1200,0,2,0,0,4,2,4,4,56.0,0,73,18.8,56.0,61,0,0,287687,239893
29,1,2,0,4,1200,0,2,0,0,4,2,3,1,55.0,0,70,6.3,55.0,62,0,0,350344,255009
30,1,2,0,4,1200,0,2,0,0,4,2,4,4,55.0,0,43,10.7,53.0,59,0,0,302210,273147
31,1,2,0,4,2215,0,2,0,0,4,2,8,2,59.0,0,3,9.0,59.0,68,0,0,287883,235689
32,1,2,0,4,2215,0,2,0,0,4,2,8,2,58.0,0,43,34.3,58.0,66,0,0,238720,256363
33,1,2,0,4,2215,0,2,0,0,4,2,6,2,57.5,0,43,9.0,57.5,65,0,0,313563,227705
34,1,2,0,4,2215,0,2,0,0,4,2,6,2,57.0,0,70,6.4,57.0,64,0,0,277609,187419
35,1,2,0,4,2215,0,2,0,0,4,2,7,4,56.5,0,70,5.6,56.5,67,0,0,277609,235773
36,1,2,0,4,2215,0,2,0,0,4,2,7,2,56.5,1,21,12.6,56.5,63,0,0,301053,241892
37,1,2,0,4,2215,0,2,0,0,4,2,7,2,55.0,0,20,21.4,52.0,60,0,0,255989,214675
